"Rk","Team","Span.Started","Span.Ended","Final.Record","Postseason","G","W","L","W.L.","MP","AST","STL","BLK","TOV","PF","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","MP_opp","FG","FGA","FG.","X2P","X2PA","X2P.","X3P","X3PA","X3P.","FT","FTA","FT.","PTS","FG_opp","FGA_opp","FG._opp","X2P_opp","X2PA_opp","X2P._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","PTS_opp","ORB","DRB","TRB","ORB_opp","DRB_opp","TRB_opp","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp","Y"
1,"GSW","2016-10-25","2017-01-18",0.817073170731707,"Won Championship",42,36,6,0.857,241.785714285714,31.4047619047619,9.42857142857143,6.30952380952381,14.9761904761905,19.4047619047619,21.7619047619048,9,3.73809523809524,14.4761904761905,20.3809523809524,241.785714285714,43.6666666666667,87.3095238095238,0.5,31.8809523809524,56.6666666666667,0.563,11.7857142857143,30.6428571428571,0.385,18.6666666666667,23.6428571428571,0.79,117.785714285714,38.8333333333333,89.8809523809524,0.0102857142857143,29.6190476190476,61.1428571428571,0.484,9.21428571428571,28.7380952380952,0.321,18.0952380952381,23.6190476190476,0.766,104.97619047619,9.09523809523809,36.2619047619048,45.3571428571429,11.5,31.7857142857143,43.2857142857143,22.2,48.8,24.1,48.8,71.9,9.3,10.3,13.3,56,8.9,6.6,12.6,116.6,0.271,0.351,0.603,0.568,0.214,103.9,0.263,0.32,0.523,0.483,0.201,"A"
2,"GSW","2017-10-17","2018-01-10",0.707317073170732,"Won Championship",42,33,9,0.786,241.190476190476,30.6666666666667,8.35714285714286,8.33333333333333,15.547619047619,20.047619047619,23.1190476190476,8.83333333333333,3.85714285714286,13.8571428571429,18.4761904761905,241.190476190476,43.5714285714286,85.8571428571429,0.507,31.8809523809524,55.8571428571429,0.571,11.6904761904762,30,0.39,16.9047619047619,20.7857142857143,0.813,115.738095238095,39.2857142857143,90.1904761904762,0.0103809523809524,28.7619047619048,61.1666666666667,0.47,10.5238095238095,29.0238095238095,0.363,17.5,23.2380952380952,0.753,106.595238095238,8.52380952380952,36.2380952380952,44.7619047619048,11.1428571428571,31.0238095238095,42.1666666666667,21.6,48.5,23.5,48.5,70.4,8.3,13.6,14.1,58.8,8.8,6.9,12.1,115.5,0.242,0.349,0.609,0.576,0.197,106.4,0.258,0.322,0.531,0.494,0.194,"A"
3,"GSW","2015-10-27","2016-01-18",0.890243902439024,"Conference Champ",42,38,4,0.905,242.380952380952,28.6666666666667,8.26190476190476,6.47619047619048,15.0238095238095,20.7380952380952,21.4047619047619,8.59523809523809,3.95238095238095,14.1190476190476,20.6666666666667,242.380952380952,42.0238095238095,86.5476190476191,0.486,29.2142857142857,56.4523809523809,0.518,12.8095238095238,30.0952380952381,0.426,17.452380952381,23.1904761904762,0.753,114.309523809524,38.5476190476191,89.9761904761905,0.0101904761904762,31.4285714285714,67.4285714285714,0.466,7.11904761904762,22.547619047619,0.316,18.4047619047619,24.2380952380952,0.759,102.619047619048,10.4047619047619,36.1190476190476,46.5238095238095,11.8809523809524,31.7857142857143,43.6666666666667,24.7,48.4,24.8,48.4,68.2,8.3,9.6,13.4,55.5,8.6,7,12.3,114.7,0.268,0.348,0.591,0.56,0.202,103,0.269,0.251,0.51,0.468,0.205,"A"
4,"GSW","2018-10-16","2019-01-11",0.695121951219512,"Conference Champ",42,28,14,0.667,242.380952380952,28.5,7.28571428571429,6.35714285714286,14.2142857142857,21.7857142857143,24,7.90476190476191,3.42857142857143,12.7619047619048,20.2619047619048,242.380952380952,43.5,89.3809523809524,0.487,31,56.7857142857143,0.546,12.5,32.5952380952381,0.383,17.8809523809524,21.6904761904762,0.824,117.380952380952,40.7142857142857,90.5238095238095,0.0107142857142857,29.1428571428571,57.0238095238095,0.511,11.5714285714286,33.5,0.345,18.6666666666667,24.547619047619,0.76,111.666666666667,9.97619047619048,36.1666666666667,46.1428571428571,10,33.0476190476191,43.0476190476191,23.2,48.3,21.7,48.3,65.5,7.2,11.1,12.6,58.9,7.8,6,11.2,116,0.243,0.365,0.593,0.557,0.2,110.3,0.271,0.37,0.551,0.514,0.206,"A"
5,"MEM","2019-10-23","2020-01-17",0.465753424657534,"",42,20,22,0.476,240.595238095238,28.0238095238095,7.95238095238095,5.47619047619048,14.7142857142857,21.5238095238095,24.8333333333333,7.71428571428571,5.30952380952381,14.3571428571429,19.7380952380952,240.595238095238,42.9761904761905,91.1904761904762,0.471,31.1904761904762,58.3809523809524,0.534,11.7857142857143,32.8095238095238,0.359,15.8095238095238,20.047619047619,0.789,113.547619047619,41.5476190476191,90.0238095238095,0.011,29.0238095238095,55.7142857142857,0.521,12.5238095238095,34.3095238095238,0.365,20.1428571428571,25.4761904761905,0.791,115.761904761905,9.92857142857143,35.5952380952381,45.5238095238095,9.92857142857143,34.9047619047619,44.8333333333333,22.1,49.6,21.8,49.6,65.2,7.7,9.8,12.8,59.8,7.5,9.1,12.4,110.4,0.22,0.36,0.568,0.536,0.173,112.5,0.283,0.381,0.572,0.531,0.224,"C"
6,"GSW","2021-10-19","2022-01-14",0.646341463414634,"Won Championship",42,31,11,0.738,240.595238095238,27.952380952381,9.61904761904762,4.97619047619048,15.0952380952381,20.1190476190476,21.8571428571429,8.35714285714286,3.9047619047619,14.7857142857143,17.7619047619048,240.595238095238,40.3095238095238,86.3809523809524,0.467,25.9285714285714,46.5476190476191,0.557,14.3809523809524,39.8333333333333,0.361,15.1666666666667,20.1666666666667,0.752,110.166666666667,36.7142857142857,85.8571428571429,0.0101904761904762,24.9047619047619,49.8809523809524,0.499,11.8095238095238,35.9761904761905,0.328,16.3333333333333,21.8095238095238,0.749,101.571428571429,9.83333333333333,36.3809523809524,46.2142857142857,9.38095238095238,32.8333333333333,42.2142857142857,23,47.7,20.5,47.7,69.3,9.8,10,13.7,59.5,8.5,8.4,13.4,112,0.233,0.461,0.578,0.55,0.176,103.2,0.254,0.419,0.532,0.496,0.19,"A"
7,"GSW","2020-12-22","2021-03-19",0.541666666666667,"",42,22,20,0.524,240.595238095238,27.8333333333333,8.16666666666667,4.85714285714286,14.6666666666667,21.7619047619048,23.6904761904762,7.54761904761905,4.76190476190476,15.2142857142857,20.4285714285714,240.595238095238,41.1904761904762,88.7857142857143,0.464,27.3095238095238,50.9523809523809,0.536,13.8809523809524,37.8333333333333,0.367,16.8571428571429,21.7857142857143,0.774,113.119047619048,39.9047619047619,89.2142857142857,0.0106428571428571,26.8809523809524,53.9523809523809,0.498,13.0238095238095,35.2619047619048,0.369,20.2857142857143,26.0714285714286,0.778,113.119047619048,7.88095238095238,35.1666666666667,43.0476190476191,10.952380952381,37.5,48.4523809523809,17.4,53,23.7,53,67.6,7.9,9,13,59.4,7.3,9.3,13.1,110,0.245,0.426,0.575,0.542,0.19,110,0.292,0.395,0.562,0.52,0.227,"C"
8,"SAS","2021-10-20","2022-01-14",0.414634146341463,"",42,15,27,0.357,241.785714285714,27.7619047619048,7.95238095238095,5.11904761904762,12.6904761904762,18.047619047619,23.8333333333333,7.42857142857143,5.64285714285714,13.6190476190476,18.5238095238095,241.785714285714,43.2380952380952,93.5476190476191,0.462,32.2619047619048,62.6904761904762,0.515,10.9761904761905,30.8571428571429,0.356,13.3333333333333,18.2857142857143,0.729,110.785714285714,42.1666666666667,90.8571428571429,0.011047619047619,30.047619047619,57.0238095238095,0.527,12.1190476190476,33.8333333333333,0.358,14.9285714285714,19.9761904761905,0.747,111.380952380952,11.047619047619,34.7857142857143,45.8333333333333,11.047619047619,36.1666666666667,47.2142857142857,23.4,50.7,24.1,50.7,64.2,7.9,9,11.1,56.5,7.4,9,12,110.3,0.195,0.33,0.545,0.521,0.143,110.9,0.22,0.372,0.559,0.531,0.164,"D"
9,"PHO","2019-10-23","2020-01-18",0.465753424657534,"",42,18,24,0.429,241.785714285714,27.6428571428571,7.80952380952381,3.83333333333333,14.1190476190476,22.4047619047619,23.6666666666667,7.80952380952381,5.57142857142857,15.5714285714286,23.2380952380952,241.785714285714,41.3333333333333,89.2142857142857,0.463,29.9047619047619,56.2142857142857,0.532,11.4285714285714,33,0.346,19.4047619047619,24.047619047619,0.807,113.5,41.4047619047619,87.8571428571429,0.0112142857142857,29.5952380952381,55.6666666666667,0.532,11.8095238095238,32.1904761904762,0.367,19.3571428571429,25.0952380952381,0.771,113.97619047619,9.71428571428571,34.1666666666667,43.8809523809524,9.09523809523809,35.6190476190476,44.7142857142857,21.4,50.5,21,50.5,66.9,7.6,6.9,12.4,57.2,7.6,9.9,13.6,110.7,0.27,0.37,0.569,0.527,0.218,111.2,0.286,0.366,0.576,0.538,0.22,"C"
10,"PHO","2020-12-23","2021-03-23",0.708333333333333,"Conference Champ",42,29,13,0.69,242.380952380952,27.3809523809524,6.57142857142857,4.30952380952381,12.7619047619048,19.8095238095238,21.8809523809524,7.09523809523809,3.78571428571429,12.6666666666667,17.9047619047619,242.380952380952,42.8571428571429,87.5,0.49,29.6666666666667,53.0476190476191,0.559,13.1904761904762,34.4523809523809,0.383,15.0952380952381,18.2142857142857,0.829,114,39.6428571428571,86.6428571428571,0.0109047619047619,28.5714285714286,54.4761904761905,0.524,11.0714285714286,32.1666666666667,0.344,16.9761904761905,22.2142857142857,0.764,107.333333333333,8.16666666666667,35.1190476190476,43.2857142857143,9.54761904761905,33.5238095238095,43.0714285714286,19.6,49.9,21.4,49.9,63.9,6.7,7.9,11.8,55.2,7.3,7.1,11.6,116.5,0.208,0.394,0.597,0.565,0.173,109.7,0.256,0.371,0.557,0.521,0.196,"A"
11,"GSW","2014-10-29","2015-01-25",0.817073170731707,"Won Championship",42,36,6,0.857,240.595238095238,27.2380952380952,9.40476190476191,6.38095238095238,14.8095238095238,19.9047619047619,20.5,8.64285714285714,3.52380952380952,15.7619047619048,19.047619047619,240.595238095238,41.8571428571429,86.0714285714286,0.486,31.5238095238095,59.5714285714286,0.529,10.3333333333333,26.5,0.39,17.0952380952381,21.8809523809524,0.781,111.142857142857,36.7857142857143,87.2619047619048,0.010047619047619,29.6666666666667,65.0238095238095,0.456,7.11904761904762,22.2380952380952,0.32,18.5952380952381,24.8571428571429,0.748,99.2857142857143,10.1190476190476,34.7619047619048,44.8809523809524,12.4047619047619,32.3571428571429,44.7619047619048,23.8,49.9,26.3,49.9,65.1,9.5,9.8,13.4,55.7,8.8,5.9,13.8,112.7,0.254,0.308,0.581,0.546,0.199,100.7,0.285,0.255,0.506,0.462,0.213,"A"
12,"CHO","2021-10-20","2022-01-12",0.524390243902439,"",42,23,19,0.548,242.380952380952,27.1428571428571,9.04761904761905,5.16666666666667,12.547619047619,19.3571428571429,25.9285714285714,7.35714285714286,4.92857142857143,14.9285714285714,18.9761904761905,242.380952380952,42.9047619047619,92.4761904761905,0.464,28.6904761904762,54.5952380952381,0.526,14.2142857142857,37.8809523809524,0.375,15.0238095238095,20.3571428571429,0.738,115.047619047619,42.0476190476191,90.3809523809524,0.0110714285714286,27.7619047619048,50.5952380952381,0.549,14.2857142857143,39.7857142857143,0.359,17.0952380952381,21.9047619047619,0.78,115.47619047619,10.5238095238095,33.3333333333333,43.8571428571429,11.1190476190476,36.7142857142857,47.8333333333333,22.3,52.2,25,52.2,63.3,8.9,10.2,11,61.7,7.3,9,13,113.7,0.22,0.41,0.567,0.541,0.162,114.1,0.242,0.44,0.577,0.544,0.189,"C"
13,"DEN","2018-10-17","2019-01-13",0.658536585365854,"Division Champ",42,29,13,0.69,241.190476190476,27.1428571428571,8.02380952380952,4.66666666666667,13.4047619047619,20.4047619047619,23.8333333333333,7.71428571428571,5.33333333333333,12.9285714285714,20.7142857142857,241.190476190476,41.6666666666667,89.5952380952381,0.465,30.952380952381,59.0952380952381,0.524,10.7142857142857,30.5,0.351,16.3809523809524,21.8571428571429,0.749,110.428571428571,39.1190476190476,86,0.0108333333333333,28.6428571428571,54.4761904761905,0.526,10.4761904761905,31.5238095238095,0.332,16.7857142857143,22.452380952381,0.748,105.5,12.452380952381,34.5952380952381,47.0476190476191,9.76190476190476,32.0952380952381,41.8571428571429,28,47.1,22,47.1,65.1,8.3,8.6,11.9,60.9,7.9,9,11.9,113.7,0.244,0.34,0.557,0.525,0.183,108.6,0.261,0.367,0.55,0.516,0.195,"B"
14,"CHO","2020-12-23","2021-03-22",0.458333333333333,"",42,21,21,0.5,240.595238095238,27.0952380952381,8.16666666666667,4.69047619047619,14.8571428571429,18.3809523809524,27.9285714285714,8.26190476190476,5.16666666666667,14.6904761904762,19.1190476190476,240.595238095238,40.6190476190476,88.0476190476191,0.461,26.7619047619048,51.8571428571429,0.516,13.8571428571429,36.1904761904762,0.383,16.6428571428571,21.4285714285714,0.777,111.738095238095,41.8095238095238,88.0952380952381,0.0113095238095238,26.9761904761905,47.9761904761905,0.562,14.8333333333333,40.1190476190476,0.37,14.6428571428571,19.5714285714286,0.748,113.095238095238,10.5,33.2619047619048,43.7619047619048,10.0952380952381,34.5,44.5952380952381,23.3,50.5,23.3,50.5,66.7,8.2,9.8,13.2,66.8,8.3,10,13.2,112.5,0.243,0.411,0.573,0.54,0.189,113.9,0.222,0.455,0.585,0.559,0.166,"D"
15,"PHI","2018-10-16","2019-01-09",0.621951219512195,"Playoffs",42,27,15,0.643,242.97619047619,26.9761904761905,7.38095238095238,5.30952380952381,15.3571428571429,22.7619047619048,22.3809523809524,7.97619047619048,4.07142857142857,12.9047619047619,23.4047619047619,242.97619047619,41,87.5952380952381,0.468,29.8809523809524,56.0714285714286,0.533,11.1190476190476,31.5238095238095,0.353,21.4761904761905,28.047619047619,0.766,114.595238095238,41.3095238095238,91.6904761904762,0.0107380952380952,30.9761904761905,61.6904761904762,0.502,10.3333333333333,30,0.344,19.5238095238095,25.1428571428571,0.777,112.47619047619,10.5238095238095,37.0238095238095,47.5476190476191,9.92857142857143,33.7380952380952,43.6666666666667,23.8,47.9,21.1,47.9,65.8,7.2,8.6,13.3,54.2,7.8,7.3,11.2,111.5,0.32,0.36,0.573,0.532,0.245,109.4,0.274,0.327,0.547,0.507,0.213,"B"
16,"NOP","2018-10-17","2019-01-09",0.402439024390244,"",42,20,22,0.476,240,26.952380952381,7.57142857142857,5.45238095238095,14.452380952381,22.4761904761905,25.1666666666667,8.57142857142857,5.30952380952381,13.2142857142857,22.5714285714286,240,43.6190476190476,90.4523809523809,0.482,33.5238095238095,62.2857142857143,0.538,10.0952380952381,28.1666666666667,0.358,19.8571428571429,25.6428571428571,0.774,117.190476190476,42.1428571428571,90.7142857142857,0.0110714285714286,30.1190476190476,57.6666666666667,0.522,12.0238095238095,33.0476190476191,0.364,18.5238095238095,24.547619047619,0.755,114.833333333333,11.3095238095238,35.5238095238095,46.8333333333333,10.6666666666667,32.6428571428571,43.3095238095238,25.7,48,23.1,48,61.8,7.4,9.5,12.4,59.7,8.4,8.5,11.5,114.9,0.283,0.311,0.576,0.538,0.22,112.6,0.271,0.364,0.566,0.531,0.204,"D"
17,"DEN","2020-12-23","2021-03-21",0.652777777777778,"Playoffs",42,25,17,0.595,243.571428571429,26.9285714285714,8.21428571428571,4.30952380952381,12.7380952380952,19.3333333333333,26.5952380952381,7.14285714285714,4.30952380952381,13.8809523809524,19.6666666666667,243.571428571429,43.5714285714286,89.2619047619048,0.488,30.1190476190476,54.5952380952381,0.552,13.452380952381,34.6666666666667,0.388,15.2619047619048,19.4761904761905,0.784,115.857142857143,40.4047619047619,86.0714285714286,0.0111666666666667,27.4761904761905,50.2142857142857,0.547,12.9285714285714,35.8571428571429,0.361,16.9285714285714,22.1190476190476,0.765,110.666666666667,10.1666666666667,33.7142857142857,43.8809523809524,9.80952380952381,32.0714285714286,41.8809523809524,24.1,48.8,22.5,48.8,61.8,8.4,8.6,11.5,65.8,7.3,7.9,12.7,118.4,0.218,0.388,0.592,0.563,0.171,113.1,0.257,0.417,0.578,0.545,0.197,"B"
18,"IND","2020-12-23","2021-03-22",0.472222222222222,"",42,19,23,0.452,242.97619047619,26.8333333333333,8.57142857142857,6,13.1666666666667,20.2142857142857,25.9761904761905,7.35714285714286,5.28571428571429,14.8333333333333,18.6428571428571,242.97619047619,42.2619047619048,89.5952380952381,0.472,29.9285714285714,55.3571428571429,0.541,12.3333333333333,34.2380952380952,0.36,16.2142857142857,20.5714285714286,0.788,113.071428571429,41.5,88.4523809523809,0.0111666666666667,29.3571428571429,56.6904761904762,0.518,12.1428571428571,31.7619047619048,0.382,18.0952380952381,22.7142857142857,0.797,113.238095238095,8.64285714285714,33.1190476190476,41.7619047619048,10.1666666666667,34.9047619047619,45.0714285714286,19.8,51.9,23.5,51.9,63.5,8.5,10.6,11.8,62.6,7.3,9.5,13.1,112.2,0.23,0.382,0.573,0.541,0.181,112.4,0.257,0.359,0.575,0.538,0.205,"C"
19,"BRK","2020-12-22","2021-03-19",0.666666666666667,"Playoffs",42,28,14,0.667,242.97619047619,26.8095238095238,6.52380952380952,5.26190476190476,13.8333333333333,19.047619047619,24.7142857142857,7.85714285714286,4.42857142857143,11.9761904761905,18.7142857142857,242.97619047619,43.6666666666667,87.3333333333333,0.5,28.8333333333333,50.2857142857143,0.573,14.8333333333333,37.0476190476191,0.4,18.2142857142857,22.8095238095238,0.799,120.380952380952,43.0476190476191,92.4523809523809,0.0110952380952381,30.1428571428571,57.1428571428571,0.528,12.9047619047619,35.3095238095238,0.365,16.4285714285714,21.1428571428571,0.777,115.428571428571,8.64285714285714,35.3571428571429,44,10.047619047619,32.1904761904762,42.2380952380952,21.2,49,22.1,49,61.4,6.5,9.2,12.4,57.4,7.8,8.8,10.5,119.5,0.261,0.424,0.618,0.585,0.209,114.6,0.229,0.382,0.567,0.535,0.178,"B"
20,"MEM","2020-12-23","2021-03-26",0.527777777777778,"Playoffs",42,21,21,0.5,241.190476190476,26.6428571428571,9.61904761904762,4.42857142857143,12.9285714285714,18.6428571428571,25.452380952381,8.02380952380952,5.54761904761905,15.1904761904762,18,241.190476190476,42.5714285714286,92.1190476190476,0.462,32.0238095238095,61.9523809523809,0.517,10.547619047619,30.1666666666667,0.35,15.8809523809524,20.2142857142857,0.786,111.571428571429,40.5,86.5476190476191,0.0111428571428571,27.5238095238095,51.5714285714286,0.534,12.9761904761905,34.9761904761905,0.371,17.0714285714286,21.952380952381,0.778,111.047619047619,11.1904761904762,34.8095238095238,46,8.80952380952381,35.1666666666667,43.9761904761905,24.1,48.9,20.2,48.9,62.6,9.6,8.6,11.3,62.8,8,9,13.6,111.1,0.219,0.327,0.552,0.519,0.172,110.5,0.254,0.404,0.577,0.543,0.197,"C"
21,"MIL","2018-10-17","2019-01-13",0.731707317073171,"Division Champ",42,30,12,0.714,241.190476190476,26.5238095238095,7.59523809523809,5.95238095238095,14.047619047619,20.7380952380952,24,7.04761904761905,4.5,13.7380952380952,20.8095238095238,241.190476190476,43.3809523809524,90.5476190476191,0.479,30.047619047619,52.1428571428571,0.576,13.3333333333333,38.4047619047619,0.347,17.5238095238095,22.952380952381,0.763,117.619047619048,39.5,91.5238095238095,0.0102857142857143,26.4285714285714,55.6904761904762,0.475,13.0714285714286,35.8333333333333,0.365,16.2142857142857,21.7857142857143,0.744,108.285714285714,9.42857142857143,39.5476190476191,48.9761904761905,9.61904761904762,34.5476190476191,44.1666666666667,21.4,47.4,19.6,47.4,61.1,7.4,10.7,12.2,60.8,6.8,8.6,12,114.2,0.253,0.424,0.584,0.553,0.194,105.1,0.238,0.392,0.535,0.503,0.177,"A"
22,"DEN","2021-10-20","2022-01-16",0.585365853658537,"Playoffs",42,22,20,0.524,240.595238095238,26.5,7.19047619047619,3.85714285714286,13.0714285714286,19.2619047619048,24.1190476190476,7.28571428571429,4.78571428571429,12.6666666666667,18.7857142857143,240.595238095238,40.3333333333333,86.3571428571429,0.467,27.7857142857143,49.9761904761905,0.556,12.547619047619,36.3809523809524,0.345,13.7380952380952,17.8809523809524,0.768,106.952380952381,39.7142857142857,85.9523809523809,0.011,28,51.4285714285714,0.544,11.7142857142857,34.5238095238095,0.339,14.7857142857143,19.7857142857143,0.747,105.928571428571,8.66666666666667,34.6904761904762,43.3571428571429,9.57142857142857,33.9761904761905,43.5476190476191,20.3,50.1,21.6,50.1,65.7,7.5,7.5,12.2,60.7,7.6,9.6,11.8,111.2,0.207,0.421,0.568,0.54,0.159,110.2,0.23,0.402,0.56,0.53,0.172,"B"
23,"CHI","2020-12-23","2021-03-22",0.430555555555556,"",42,19,23,0.452,242.380952380952,26.2619047619048,6.76190476190476,4.42857142857143,15.2380952380952,19.8809523809524,23.6904761904762,8.64285714285714,4.85714285714286,13.1190476190476,18.7380952380952,242.380952380952,42.6904761904762,89.0238095238095,0.48,29.7380952380952,54.7380952380952,0.543,12.952380952381,34.2857142857143,0.378,15.1666666666667,18.8809523809524,0.803,113.5,42.0714285714286,89.0714285714286,0.0112380952380952,30.7619047619048,56.3809523809524,0.546,11.3095238095238,32.6904761904762,0.346,18.4761904761905,23.9285714285714,0.772,113.928571428571,9.42857142857143,35.5238095238095,44.9523809523809,9.19047619047619,33.4285714285714,42.6190476190476,22,48.7,20.6,48.7,61.5,6.7,7.9,13.5,56.3,8.5,8.9,11.6,112.2,0.212,0.385,0.583,0.552,0.17,112.6,0.269,0.367,0.572,0.536,0.207,"D"
24,"DEN","2019-10-23","2020-01-19",0.63013698630137,"Division Champ",42,29,13,0.69,242.380952380952,26.2380952380952,7.88095238095238,4.57142857142857,12.6190476190476,19.9761904761905,24.5,6.95238095238095,4.69047619047619,13.8333333333333,20.7619047619048,242.380952380952,41.3095238095238,89.3095238095238,0.463,31,59.5,0.521,10.3095238095238,29.8095238095238,0.346,16.4761904761905,21.4761904761905,0.767,109.404761904762,39.0952380952381,86,0.0108333333333333,28.1190476190476,52.9523809523809,0.531,10.9761904761905,33.0476190476191,0.332,16.5714285714286,21.8333333333333,0.759,105.738095238095,10.9285714285714,33.6428571428571,44.5714285714286,10,33.4047619047619,43.4047619047619,24.7,49.3,22.9,49.3,63.5,8.1,8.6,11.3,62.7,7.1,7.9,12.6,112.2,0.24,0.334,0.554,0.52,0.184,108.5,0.254,0.384,0.553,0.518,0.193,"B"
25,"PHI","2019-10-23","2020-01-15",0.589041095890411,"Playoffs",42,26,16,0.619,241.190476190476,26.2380952380952,8.21428571428571,5.71428571428571,13.9761904761905,21.4285714285714,21.7619047619048,7.33333333333333,4,13.5952380952381,20.6190476190476,241.190476190476,41.1666666666667,87.8571428571429,0.469,30.4761904761905,57.7380952380952,0.528,10.6904761904762,30.1190476190476,0.355,16.1190476190476,21.6904761904762,0.743,109.142857142857,38.9047619047619,85.5238095238095,0.0108333333333333,28.9047619047619,57.8095238095238,0.5,10,27.7142857142857,0.361,17.9047619047619,24.3095238095238,0.737,105.714285714286,10.4047619047619,35.8095238095238,46.2142857142857,8.45238095238095,32.7857142857143,41.2380952380952,24.1,47.2,19.1,47.2,63.7,8.3,9.9,12.5,55.9,7.4,6.9,12.4,110.3,0.247,0.343,0.56,0.529,0.183,106.9,0.284,0.324,0.549,0.513,0.209,"B"
26,"NOP","2017-10-18","2018-01-14",0.585365853658537,"Playoffs",42,22,20,0.524,242.380952380952,26.2142857142857,7.47619047619048,5.04761904761905,15.4285714285714,19.5238095238095,24.0238095238095,8.85714285714286,4.30952380952381,13.7380952380952,20.8571428571429,242.380952380952,41.5,84.6904761904762,0.49,30.5952380952381,55.3809523809524,0.552,10.9047619047619,29.3095238095238,0.372,17.1428571428571,22.4761904761905,0.763,111.047619047619,41.7142857142857,90,0.0110238095238095,30.3809523809524,59.1190476190476,0.514,11.3333333333333,30.8809523809524,0.367,16.2619047619048,20.7142857142857,0.785,111.02380952381,8.26190476190476,34.3571428571429,42.6190476190476,10.3809523809524,33,43.3809523809524,20,50.4,23.2,50.4,63.2,7.5,8.5,14,57.6,8.9,7.8,12.2,111.1,0.265,0.346,0.587,0.554,0.202,111.1,0.23,0.343,0.56,0.526,0.181,"B"
27,"NOP","2020-12-23","2021-03-21",0.430555555555556,"",42,18,24,0.429,241.190476190476,26.1904761904762,7.19047619047619,4.11904761904762,13.5,17.5714285714286,26.6904761904762,7.47619047619048,5.73809523809524,12.3809523809524,20.9285714285714,241.190476190476,42.9047619047619,88.4523809523809,0.485,31.6904761904762,56.8095238095238,0.558,11.2142857142857,31.6428571428571,0.354,18.2857142857143,24.9761904761905,0.732,115.309523809524,41.6904761904762,88.0952380952381,0.0112619047619048,26.3333333333333,48.5952380952381,0.542,15.3571428571429,39.5,0.389,16.452380952381,20.3095238095238,0.81,115.190476190476,11.8333333333333,34.6190476190476,46.4523809523809,8.76190476190476,31.4047619047619,40.1666666666667,27.4,46.4,20.2,46.4,61,7.3,8.5,12,64,7.6,10.1,11.3,117,0.282,0.358,0.58,0.548,0.207,116.9,0.231,0.448,0.594,0.56,0.187,"D"
28,"PHO","2021-10-20","2022-01-16",0.780487804878049,"Division Champ",42,33,9,0.786,240.595238095238,26.1666666666667,8.61904761904762,4.16666666666667,13.3809523809524,19.5,22.6428571428571,7.90476190476191,4.19047619047619,14.452380952381,19.0238095238095,240.595238095238,42.3571428571429,89.1904761904762,0.475,30.5952380952381,57.4285714285714,0.533,11.7619047619048,31.7619047619048,0.37,15.8571428571429,19.7380952380952,0.803,112.333333333333,38.8809523809524,89.1666666666667,0.0103809523809524,27.6428571428571,54.8571428571429,0.504,11.2380952380952,34.3095238095238,0.328,15.5714285714286,20.8571428571429,0.747,104.571428571429,9.97619047619048,36.0238095238095,46,11.0238095238095,34.3571428571429,45.3809523809524,22.5,49.7,23.4,49.7,61.8,8.7,7.6,12,58.2,8,7.3,12.8,113.2,0.221,0.356,0.574,0.541,0.178,105.4,0.234,0.385,0.532,0.499,0.175,"A"
29,"MIL","2020-12-23","2021-03-22",0.638888888888889,"Won Championship",42,28,14,0.667,240.595238095238,26.1666666666667,7.95238095238095,4.76190476190476,13.4047619047619,17.5952380952381,25.0714285714286,6.80952380952381,4.71428571428571,12.4047619047619,18.4761904761905,240.595238095238,44.6428571428571,91.6428571428571,0.487,29.9761904761905,54.1190476190476,0.554,14.6666666666667,37.5238095238095,0.391,16,21.3333333333333,0.75,119.952380952381,42.0238095238095,92.7619047619048,0.0107857142857143,27.952380952381,54.6904761904762,0.511,14.0714285714286,38.0714285714286,0.37,14.3571428571429,18.3571428571429,0.782,112.47619047619,10.3333333333333,38.3095238095238,48.6428571428571,9.28571428571429,34.0952380952381,43.3809523809524,23.3,47.1,19.5,47.1,58.6,7.8,8.7,11.7,59.7,6.7,8.7,11,117.7,0.233,0.409,0.594,0.567,0.175,110.4,0.198,0.41,0.558,0.529,0.155,"A"
