"Rk","Team","Span.Started","Span.Ended","Final.Record","Postseason","G","W","L","W.L.","MP","AST","STL","BLK","TOV","PF","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","MP_opp","FG","FGA","FG.","X2P","X2PA","X2P.","X3P","X3PA","X3P.","FT","FTA","FT.","PTS","FG_opp","FGA_opp","FG._opp","X2P_opp","X2PA_opp","X2P._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","PTS_opp","ORB","DRB","TRB","ORB_opp","DRB_opp","TRB_opp","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp","Y"
220,"NOP","2013-10-30","2014-01-24",0.414634146341463,"",42,17,25,0.405,242.380952380952,21.7380952380952,8.45238095238095,6.21428571428571,13.3333333333333,22.3571428571429,22,7.19047619047619,6.28571428571429,14.2142857142857,20.2142857142857,242.380952380952,38.4523809523809,84.4047619047619,0.456,32.3095238095238,68.5238095238095,0.472,6.14285714285714,15.8809523809524,0.387,17.7380952380952,23.0952380952381,0.768,100.785714285714,37.5714285714286,80.6904761904762,0.0110952380952381,29.5,58.0714285714286,0.508,8.07142857142857,22.6190476190476,0.357,19.6904761904762,26.547619047619,0.742,102.904761904762,12.5714285714286,30.1190476190476,42.6904761904762,11.2857142857143,31.547619047619,42.8333333333333,28.5,50.1,27.3,50.1,56.5,9.1,10.7,12.4,58.6,7.7,9.2,13.3,108.5,0.274,0.188,0.533,0.492,0.21,110.8,0.329,0.28,0.557,0.516,0.244,"D"
221,"CHI","2015-10-27","2016-01-22",0.51219512195122,"",42,24,18,0.571,244.761904761905,21.7142857142857,6.19047619047619,6.23809523809524,14.1428571428571,18.6904761904762,22.5714285714286,8.11904761904762,5.59523809523809,11.3095238095238,19.2619047619048,244.761904761905,38.1666666666667,88.0238095238095,0.434,30.6190476190476,66.8095238095238,0.458,7.54761904761905,21.2142857142857,0.356,17.952380952381,22.9047619047619,0.784,101.833333333333,39.2142857142857,92.0476190476191,0.0101428571428571,31.547619047619,69.0238095238095,0.457,7.66666666666667,23.0238095238095,0.333,15.3571428571429,21.4285714285714,0.717,101.452380952381,11.7857142857143,37,48.7857142857143,12.7380952380952,34,46.7380952380952,25.7,48.9,25.6,48.9,56.9,6.3,9,12.6,57.6,8.3,8.4,10,104.4,0.26,0.241,0.519,0.476,0.204,104,0.233,0.25,0.5,0.468,0.167,"C"
222,"LAL","2012-10-30","2013-01-23",0.548780487804878,"Playoffs",42,17,25,0.405,240.595238095238,21.7142857142857,7.30952380952381,5.69047619047619,14.952380952381,18.9285714285714,23.5714285714286,8.35714285714286,5.07142857142857,12.9285714285714,23.1904761904762,240.595238095238,36.9761904761905,81.5952380952381,0.453,28.1666666666667,56.7380952380952,0.496,8.80952380952381,24.8571428571429,0.354,19.5952380952381,28.1666666666667,0.696,102.357142857143,39.4761904761905,87.2857142857143,0.0107619047619048,31.9285714285714,66.0476190476191,0.483,7.54761904761905,21.2380952380952,0.355,15.047619047619,20.8809523809524,0.721,101.547619047619,12.3095238095238,32.5952380952381,44.9047619047619,12.0952380952381,30.5,42.5952380952381,28.8,48.7,27.1,48.7,58.7,7.7,8.6,13.7,59.7,8.9,8.9,11.8,108.5,0.345,0.305,0.545,0.507,0.24,107.6,0.239,0.243,0.526,0.495,0.172,"C"
223,"MIN","2015-10-28","2016-01-17",0.353658536585366,"",42,13,29,0.31,242.380952380952,21.6904761904762,7.73809523809524,4.42857142857143,14.5,22.0238095238095,21.8571428571429,7.66666666666667,5.35714285714286,14.4285714285714,21.4047619047619,242.380952380952,36.3809523809524,81.2142857142857,0.448,31.2619047619048,65.8809523809524,0.475,5.11904761904762,15.3333333333333,0.334,21.1190476190476,26.6190476190476,0.793,99,38.3809523809524,83.3571428571429,0.010952380952381,29.9047619047619,58.6904761904762,0.51,8.47619047619048,24.6666666666667,0.344,17.2857142857143,23.4761904761905,0.736,102.52380952381,10,32.2619047619048,42.2619047619048,10.2619047619048,31.8571428571429,42.1190476190476,23.9,49.9,24.1,49.9,59.6,8.1,7.5,13.5,56.9,8.1,8.1,13.3,104,0.328,0.189,0.533,0.479,0.26,107.7,0.282,0.296,0.547,0.511,0.207,"D"
224,"TOR","2021-10-20","2022-01-19",0.585365853658537,"Playoffs",42,21,21,0.5,240.595238095238,21.6666666666667,9.14285714285714,4.71428571428571,11.8571428571429,20.0714285714286,23.8333333333333,6.88095238095238,5.30952380952381,15.2857142857143,18.6666666666667,240.595238095238,39.6428571428571,91.0952380952381,0.435,27.7857142857143,56.2619047619048,0.494,11.8571428571429,34.8333333333333,0.34,15.6190476190476,20.5952380952381,0.758,106.761904761905,37.9761904761905,83.4285714285714,0.0108333333333333,25.5,48.5952380952381,0.525,12.4761904761905,34.8333333333333,0.358,17.5238095238095,21.8095238095238,0.803,105.952380952381,13.5952380952381,31.5238095238095,45.1190476190476,10.5238095238095,33.5714285714286,44.0952380952381,28.8,49.4,25,49.4,54.7,9.6,9.7,10.6,62.8,7.2,9.4,14.1,112.1,0.226,0.382,0.533,0.5,0.171,111.2,0.261,0.418,0.569,0.53,0.21,"B"
225,"NOP","2015-10-27","2016-01-21",0.365853658536585,"",42,15,27,0.357,241.785714285714,21.6666666666667,7.54761904761905,5,13.3095238095238,21.1666666666667,22.047619047619,7.14285714285714,4.64285714285714,12.9047619047619,19.7619047619048,241.785714285714,37.9047619047619,84.9285714285714,0.446,29.2380952380952,60.4047619047619,0.484,8.66666666666667,24.5238095238095,0.353,17.5,21.8809523809524,0.8,101.97619047619,38.7857142857143,85.0952380952381,0.0108571428571429,29.6666666666667,60.0952380952381,0.494,9.11904761904762,25,0.365,18.3809523809524,23.6904761904762,0.776,105.071428571429,9.04761904761905,33.4523809523809,42.5,10,35.0714285714286,45.0714285714286,20.5,51.5,23,51.5,57.2,7.8,8.3,12.3,56.8,7.4,7.7,11.9,105.8,0.258,0.289,0.539,0.497,0.206,109,0.278,0.294,0.55,0.509,0.216,"D"
226,"CHI","2010-10-27","2011-01-18",0.75609756097561,"Division Champ",42,28,14,0.667,242.97619047619,21.6666666666667,7.40476190476191,6.26190476190476,14.2380952380952,20.2857142857143,19.1428571428571,7.28571428571429,5.92857142857143,14.2619047619048,20.6428571428571,242.97619047619,37.4285714285714,80.7857142857143,0.463,31.8333333333333,65.0476190476191,0.489,5.59523809523809,15.7380952380952,0.356,18.0238095238095,25.1190476190476,0.718,98.4761904761905,34.6428571428571,81.2380952380952,0.0101428571428571,28.8571428571429,63.9523809523809,0.451,5.78571428571429,17.2857142857143,0.335,17.952380952381,23.6428571428571,0.759,93.0238095238095,11.3333333333333,32.6190476190476,43.9523809523809,10.9047619047619,29.1190476190476,40.0238095238095,28,47.7,25.1,47.7,57.9,8,9.8,13.4,55.3,7.9,9.1,13.5,106.8,0.311,0.195,0.536,0.498,0.223,100.8,0.291,0.213,0.508,0.462,0.221,"A"
227,"NYK","2016-10-25","2017-01-16",0.378048780487805,"",42,18,24,0.429,241.785714285714,21.6428571428571,7.16666666666667,5.78571428571429,13.6904761904762,20.8095238095238,22.5238095238095,7.92857142857143,4.64285714285714,12.6428571428571,18.2619047619048,241.785714285714,39.7857142857143,89.1904761904762,0.446,30.6428571428571,63.8571428571429,0.48,9.14285714285714,25.3333333333333,0.361,16.452380952381,21.1190476190476,0.779,105.166666666667,39.4047619047619,87.3571428571429,0.0107380952380952,29.6666666666667,60.0238095238095,0.494,9.73809523809524,27.3333333333333,0.356,19.7380952380952,25.4047619047619,0.777,108.285714285714,12.1666666666667,33.5476190476191,45.7142857142857,11.452380952381,33.1666666666667,44.6190476190476,26.8,49.4,25.4,49.4,54.4,7.4,9.6,12.2,57.2,8.2,7.3,11.4,108.3,0.237,0.284,0.534,0.497,0.184,111.5,0.291,0.313,0.549,0.507,0.226,"D"
228,"CLE","2014-10-30","2015-01-19",0.646341463414634,"Conference Champ",42,22,20,0.524,240.595238095238,21.6428571428571,7.07142857142857,3.97619047619048,13.1904761904762,18.2619047619048,24.9761904761905,7.33333333333333,5,12.7619047619048,21.1904761904762,240.595238095238,36.9047619047619,81.7619047619048,0.451,28.5952380952381,57.8333333333333,0.494,8.30952380952381,23.9285714285714,0.347,18.7142857142857,24.6904761904762,0.758,100.833333333333,38.9285714285714,82.8095238095238,0.0111904761904762,30.8333333333333,60.0238095238095,0.514,8.09523809523809,22.7857142857143,0.355,14.547619047619,19.2857142857143,0.754,100.5,11.2142857142857,30.2619047619048,41.4761904761905,10.4285714285714,30.3809523809524,40.8095238095238,27,49.6,25.6,49.6,58.6,7.7,6.6,12.5,64.2,8,8.6,12.3,110.2,0.302,0.293,0.544,0.502,0.229,109.8,0.233,0.275,0.55,0.519,0.176,"A"
229,"OKC","2012-11-01","2013-01-22",0.731707317073171,"Division Champ",42,33,9,0.786,242.97619047619,21.6190476190476,8.16666666666667,6.95238095238095,15.1666666666667,20.7380952380952,21.0238095238095,8.16666666666667,4.16666666666667,14.2142857142857,20.9761904761905,242.97619047619,37.7380952380952,78.9285714285714,0.478,30,59.2380952380952,0.506,7.73809523809524,19.6904761904762,0.393,22.8571428571429,27.2619047619048,0.838,106.071428571429,36.2380952380952,84.2857142857143,0.0102380952380952,28.8333333333333,63.0238095238095,0.457,7.40476190476191,21.2619047619048,0.348,17.1428571428571,22.1190476190476,0.775,97.0238095238095,10.6666666666667,32.4285714285714,43.0952380952381,11.9761904761905,28,39.9761904761905,27.6,48.1,27,48.1,57.3,8.8,11,14.3,58,8.8,7,13.1,113.9,0.345,0.249,0.583,0.527,0.29,104.2,0.262,0.252,0.516,0.474,0.203,"A"
230,"ATL","2011-12-27","2012-03-13",0.606060606060606,"Playoffs",42,24,18,0.571,244.166666666667,21.6190476190476,8.35714285714286,4.85714285714286,13.5714285714286,17.9047619047619,20.7380952380952,7.66666666666667,5.04761904761905,14.6666666666667,18.9285714285714,244.166666666667,35.8333333333333,81.1666666666667,0.441,28.452380952381,61.6904761904762,0.461,7.38095238095238,19.4761904761905,0.379,14.9285714285714,20.6666666666667,0.722,93.9761904761905,35.5476190476191,80.9523809523809,0.010452380952381,29.6428571428571,63.2619047619048,0.469,5.90476190476191,17.6904761904762,0.334,15.2142857142857,20.047619047619,0.759,92.2142857142857,10.4047619047619,31.047619047619,41.4523809523809,10.6666666666667,31.9047619047619,42.5714285714286,24.6,50.7,25.6,50.7,60.3,9.2,7.7,13.1,58.3,8.4,8.2,14,103.1,0.255,0.24,0.521,0.487,0.184,101.2,0.248,0.219,0.514,0.476,0.188,"B"
231,"PHI","2010-10-27","2011-01-20",0.5,"Playoffs",42,17,25,0.405,242.97619047619,21.6190476190476,6.95238095238095,4.02380952380952,12.5714285714286,20.6904761904762,21.0714285714286,7.14285714285714,4.66666666666667,12.952380952381,19.9285714285714,242.97619047619,36.7857142857143,81.0476190476191,0.454,31.6190476190476,66.0238095238095,0.479,5.16666666666667,15.0238095238095,0.344,18.2857142857143,24.2857142857143,0.753,97.0238095238095,35.8333333333333,80.2619047619048,0.0106190476190476,30.0714285714286,63.5,0.474,5.76190476190476,16.7619047619048,0.344,20.2142857142857,25.8809523809524,0.781,97.6428571428571,10.3095238095238,31.8333333333333,42.1428571428571,10.5952380952381,32.1190476190476,42.7142857142857,24.3,50.3,25,50.3,58.8,7.6,6.3,12.1,58.8,7.8,7.1,12.4,105.8,0.3,0.185,0.529,0.486,0.226,106.5,0.322,0.209,0.533,0.482,0.252,"C"
232,"CLE","2016-10-25","2017-01-21",0.621951219512195,"Conference Champ",42,30,12,0.714,241.190476190476,21.5952380952381,7.40476190476191,3.9047619047619,13.4761904761905,18.0952380952381,24.1904761904762,7.38095238095238,5,13.452380952381,21.7142857142857,241.190476190476,38.7619047619048,85.4047619047619,0.454,25.9761904761905,52.1190476190476,0.498,12.7857142857143,33.2857142857143,0.384,19,25.1190476190476,0.756,109.309523809524,39.7380952380952,87.5238095238095,0.0108095238095238,29.7142857142857,59.4761904761905,0.5,10.0238095238095,28.047619047619,0.357,14.9047619047619,19.3571428571429,0.77,104.404761904762,10.1904761904762,33.6904761904762,43.8809523809524,11.047619047619,32.8571428571429,43.9047619047619,23.7,50,24.7,50,55.7,7.7,6.6,12.3,60.9,7.6,9.6,12.3,113.2,0.294,0.39,0.567,0.529,0.222,108.1,0.221,0.32,0.544,0.511,0.17,"A"
233,"OKC","2016-10-26","2017-01-15",0.573170731707317,"Playoffs",42,25,17,0.595,242.380952380952,21.5714285714286,7.66666666666667,5.09523809523809,14.5,20.6190476190476,21.5714285714286,8.21428571428571,5.04761904761905,13.3095238095238,21.1190476190476,242.380952380952,39.5714285714286,86.2857142857143,0.459,31.1428571428571,60.3809523809524,0.516,8.42857142857143,25.9047619047619,0.325,19.0952380952381,25.8571428571429,0.738,106.666666666667,39.0714285714286,86.4761904761905,0.0107619047619048,30.3333333333333,61.4285714285714,0.494,8.73809523809524,25.047619047619,0.349,17.9761904761905,23.8571428571429,0.753,104.857142857143,11.2857142857143,34.4523809523809,45.7380952380952,9.95238095238095,31.3095238095238,41.2619047619048,26.5,47.4,22.4,47.4,54.5,7.8,8.3,12.9,55.2,8.4,8.4,12.1,108.9,0.3,0.3,0.546,0.507,0.221,107.1,0.276,0.29,0.541,0.502,0.208,"B"
234,"HOU","2019-10-24","2020-01-20",0.611111111111111,"Division Champ",42,26,16,0.619,241.190476190476,21.547619047619,7.78571428571429,4.88095238095238,14.6190476190476,21.8809523809524,25.5714285714286,7.97619047619048,4.88095238095238,14.2619047619048,21.4285714285714,241.190476190476,41.2380952380952,91.1666666666667,0.452,26.0238095238095,47,0.554,15.2142857142857,44.1666666666667,0.344,20.6428571428571,26.4761904761905,0.78,118.333333333333,42.1666666666667,92.5476190476191,0.0108571428571429,29.7380952380952,56.5952380952381,0.525,12.4285714285714,35.9523809523809,0.346,17.4285714285714,23.047619047619,0.756,114.190476190476,11.1190476190476,36.1428571428571,47.2619047619048,10.9047619047619,35.5714285714286,46.4761904761905,23.8,49.6,23.2,49.6,52.3,7.5,8.6,12.4,60.6,7.7,10.4,12.2,114.2,0.29,0.484,0.575,0.536,0.226,110.2,0.249,0.388,0.556,0.523,0.188,"B"
235,"MEM","2013-10-30","2014-01-25",0.609756097560976,"Playoffs",42,22,20,0.524,241.785714285714,21.5238095238095,7.28571428571429,4.52380952380952,12.5714285714286,19.8571428571429,19.9285714285714,6.90476190476191,5.57142857142857,13.4285714285714,19.2619047619048,241.785714285714,37.4761904761905,82.8095238095238,0.453,32.4047619047619,68.3571428571429,0.474,5.07142857142857,14.452380952381,0.351,15.7142857142857,20.952380952381,0.75,95.7380952380952,35.7142857142857,78.9285714285714,0.0107619047619048,28.047619047619,57.5,0.488,7.66666666666667,21.4285714285714,0.358,16.8571428571429,22,0.766,95.9523809523809,12.1428571428571,31.1428571428571,43.2857142857143,9.80952380952381,29.8333333333333,39.6428571428571,28.9,47.8,24,47.8,57.4,8.1,7.9,12,55.8,7.7,8.2,13.2,106.5,0.253,0.175,0.52,0.483,0.19,106.7,0.279,0.271,0.541,0.501,0.214,"B"
236,"WAS","2012-10-30","2013-01-26",0.353658536585366,"",42,11,31,0.262,244.166666666667,21.5,7.47619047619048,4.88095238095238,14.7619047619048,20.7380952380952,21.6428571428571,7.66666666666667,4.95238095238095,14.1190476190476,19.0952380952381,244.166666666667,34.9761904761905,83.0714285714286,0.421,28.4047619047619,63.8333333333333,0.445,6.57142857142857,19.2380952380952,0.342,14.8333333333333,20.2142857142857,0.734,91.3571428571429,36.0952380952381,82.3333333333333,0.0104285714285714,28.952380952381,61.7142857142857,0.469,7.14285714285714,20.6190476190476,0.346,16.8809523809524,23.2619047619048,0.726,96.2142857142857,11.1666666666667,32.5,43.6666666666667,11.6190476190476,34.0952380952381,45.7142857142857,24.7,51.1,26.3,51.1,61.5,8,7.9,13.8,60,8.2,7.8,13.2,98.2,0.243,0.232,0.497,0.461,0.179,103.5,0.283,0.25,0.52,0.482,0.205,"D"
