"","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp"
"273",26.7,48.7,26.9,48.7,54.4,9.6,8.9,14,57,9,6.8,14.9,110.4,0.316,0.19,0.565,0.52,0.247,101.5,0.291,0.267,0.515,0.475,0.212
"274",22.5,52.2,24.1,52.2,60.7,7.3,6,12.7,62.1,8.1,9.2,12.6,100.4,0.303,0.232,0.508,0.463,0.226,112.6,0.277,0.26,0.572,0.537,0.209
"275",22.1,49.5,19.6,49.5,53.5,7.6,6.7,10.9,61.9,7.6,6.8,11.7,106.1,0.217,0.263,0.526,0.496,0.162,107.6,0.256,0.296,0.552,0.514,0.199
"276",29.7,47.9,25.6,47.9,56.8,8.8,8.2,12.1,60,6.9,7.2,12.8,109,0.295,0.263,0.532,0.499,0.203,106.8,0.336,0.247,0.534,0.488,0.249
"277",21.8,51.9,23.4,51.9,54.3,8.7,8.1,12.9,61.6,8.5,7.3,13.4,103.7,0.209,0.264,0.528,0.501,0.151,113.1,0.258,0.381,0.585,0.553,0.195
"278",23.2,51.5,26.4,51.5,59.1,8,7.1,13.5,58.9,8,6.9,13.4,106.1,0.316,0.273,0.544,0.499,0.241,108.9,0.316,0.279,0.548,0.503,0.241
"279",27.2,51.9,29.5,51.9,57.1,8.9,9.6,14.2,58.3,8.2,7.2,14.4,102.9,0.284,0.195,0.519,0.474,0.219,109.1,0.318,0.217,0.552,0.51,0.24
"280",24.5,50,23.8,50,53.7,6.8,7.6,13.4,54,8.8,9,11.6,105.8,0.296,0.305,0.537,0.495,0.224,112.3,0.283,0.309,0.561,0.523,0.217
"281",25,52.9,29.6,52.9,59.7,7.7,9.4,14.1,59.5,8.7,8.7,13.1,99,0.236,0.253,0.502,0.465,0.179,108.8,0.303,0.266,0.537,0.497,0.223
"282",24.7,51.3,27.6,51.3,51.7,8.9,7.7,13.3,52.9,8.4,6.6,14,110,0.252,0.311,0.56,0.522,0.201,107.6,0.312,0.249,0.543,0.497,0.24
"283",25.1,48.5,22.1,48.5,57.6,6.3,7.7,12.8,55.5,8.3,8.1,11.4,101.7,0.256,0.246,0.507,0.468,0.192,103.6,0.283,0.249,0.519,0.478,0.209
"284",25.1,47.5,23.3,47.5,56.5,7.8,9.2,14,50.3,7.9,7.3,13.5,106.5,0.287,0.248,0.546,0.502,0.226,96.8,0.255,0.219,0.49,0.447,0.195
"285",21.2,51.3,23.7,51.3,57.6,7.9,10.3,13,58,7.4,9.8,13.3,106.4,0.281,0.331,0.546,0.502,0.222,109.8,0.323,0.346,0.56,0.515,0.249
"286",23.9,49.6,21.6,49.6,57.4,9.2,9.4,11.7,57.4,7,9,13.6,105.7,0.28,0.306,0.525,0.48,0.218,105.1,0.363,0.358,0.542,0.494,0.268
"287",23.7,51.3,24.2,51.3,58.5,9.4,8.3,12,60.3,7.7,8.4,15.3,103.4,0.305,0.209,0.517,0.466,0.242,106.1,0.318,0.337,0.553,0.509,0.242
"288",25.3,50.9,25.3,50.9,55.3,7.7,7.5,11.5,61.6,7.4,6.7,12.3,105.6,0.293,0.23,0.52,0.478,0.218,112.2,0.31,0.287,0.562,0.523,0.231
"289",23.3,50.7,23.2,50.7,53.9,8.9,6.6,14.3,56.8,9.3,8,14,104.1,0.251,0.295,0.535,0.501,0.187,108.9,0.304,0.298,0.568,0.533,0.22
"290",25.6,50.2,24.6,50.2,53.3,8.2,6.1,13,61.2,9,8.7,12.4,107.7,0.277,0.302,0.541,0.501,0.212,112.6,0.278,0.324,0.569,0.534,0.208
"291",22.8,51,25.9,51,56.9,7.7,7,13.5,61.4,8.6,7.6,12.8,103.3,0.272,0.257,0.527,0.488,0.205,105.6,0.269,0.281,0.531,0.496,0.195
"292",25,49,23.3,49,58.6,8.5,7.4,12.7,58.8,7.2,7.8,13.4,105.4,0.311,0.195,0.532,0.487,0.237,103.1,0.283,0.25,0.524,0.484,0.212
"293",22.7,48.4,18.8,48.4,54,6.7,8,11.5,58.5,6.8,8.4,12.3,106.5,0.319,0.295,0.534,0.493,0.231,107.2,0.221,0.348,0.552,0.517,0.178
"294",24,50.2,24.7,50.2,57,7.2,9.3,13.4,56.6,7.7,9.5,12.3,103.5,0.264,0.274,0.525,0.482,0.207,105.4,0.319,0.21,0.527,0.482,0.238
"295",32.2,47.5,26.3,47.5,56.6,10.2,9,13,58.8,9,8.7,15.2,105.1,0.249,0.164,0.508,0.465,0.196,100.3,0.274,0.233,0.515,0.475,0.203
"296",27.4,49.6,26.3,49.6,54.8,7.9,7.3,13.4,53,8.1,7.8,13.4,105.8,0.243,0.238,0.532,0.493,0.191,105.9,0.263,0.206,0.531,0.492,0.201
"297",29.1,49.8,27.4,49.8,58.9,8.4,6.9,13.4,61.6,7.9,10.1,13.2,103.1,0.316,0.24,0.51,0.47,0.222,107.8,0.278,0.222,0.539,0.501,0.208
"298",26.6,49.1,24.8,49.1,60.2,7.1,6.7,14.1,56.6,8.6,8.5,12.4,105.3,0.314,0.343,0.534,0.505,0.204,102.5,0.243,0.221,0.511,0.472,0.185
"299",21.5,51.3,24.3,51.3,56.4,7.8,6.8,13.7,59.1,7.6,9.7,12.3,101,0.26,0.258,0.523,0.485,0.195,107.4,0.259,0.257,0.538,0.498,0.203
"300",29.3,49,27.2,49,56.8,6.9,9.2,13.6,58.1,8.9,8.8,12.3,105,0.289,0.21,0.52,0.483,0.204,105.8,0.276,0.252,0.522,0.48,0.209
"301",30.9,48.8,26.1,48.8,53.3,9.2,8.8,13.2,62.9,9,7,14.6,104.8,0.299,0.228,0.514,0.482,0.199,108.4,0.287,0.271,0.558,0.517,0.222
"302",27.5,49.1,24.8,49.1,56.6,7.6,7.4,12.8,60.1,7.7,7.9,14.3,106.6,0.296,0.274,0.53,0.486,0.227,103.9,0.286,0.241,0.53,0.49,0.214
"303",28.2,49.4,26.5,49.4,58.9,8.3,8,14.1,58.4,9,8.9,13.4,100,0.258,0.154,0.502,0.462,0.194,105.9,0.302,0.253,0.531,0.488,0.228
"304",24.6,50.1,26,50.1,55,6.5,8.8,12.2,53.2,7.4,7,10.4,106.2,0.263,0.256,0.53,0.483,0.214,107.4,0.285,0.247,0.52,0.478,0.214
"305",25.9,52.1,28.5,52.1,55.9,7.9,6.9,12.2,60.1,8.1,6.9,13.4,106.3,0.29,0.198,0.528,0.489,0.212,111,0.302,0.216,0.558,0.518,0.229
