"","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp"
"15",23.8,47.9,21.1,47.9,65.8,7.2,8.6,13.3,54.2,7.8,7.3,11.2,111.5,0.32,0.36,0.573,0.532,0.245,109.4,0.274,0.327,0.547,0.507,0.213
"16",25.7,48,23.1,48,61.8,7.4,9.5,12.4,59.7,8.4,8.5,11.5,114.9,0.283,0.311,0.576,0.538,0.22,112.6,0.271,0.364,0.566,0.531,0.204
"17",24.1,48.8,22.5,48.8,61.8,8.4,8.6,11.5,65.8,7.3,7.9,12.7,118.4,0.218,0.388,0.592,0.563,0.171,113.1,0.257,0.417,0.578,0.545,0.197
"18",19.8,51.9,23.5,51.9,63.5,8.5,10.6,11.8,62.6,7.3,9.5,13.1,112.2,0.23,0.382,0.573,0.541,0.181,112.4,0.257,0.359,0.575,0.538,0.205
"19",21.2,49,22.1,49,61.4,6.5,9.2,12.4,57.4,7.8,8.8,10.5,119.5,0.261,0.424,0.618,0.585,0.209,114.6,0.229,0.382,0.567,0.535,0.178
"20",24.1,48.9,20.2,48.9,62.6,9.6,8.6,11.3,62.8,8,9,13.6,111.1,0.219,0.327,0.552,0.519,0.172,110.5,0.254,0.404,0.577,0.543,0.197
"21",21.4,47.4,19.6,47.4,61.1,7.4,10.7,12.2,60.8,6.8,8.6,12,114.2,0.253,0.424,0.584,0.553,0.194,105.1,0.238,0.392,0.535,0.503,0.177
"22",20.3,50.1,21.6,50.1,65.7,7.5,7.5,12.2,60.7,7.6,9.6,11.8,111.2,0.207,0.421,0.568,0.54,0.159,110.2,0.23,0.402,0.56,0.53,0.172
"23",22,48.7,20.6,48.7,61.5,6.7,7.9,13.5,56.3,8.5,8.9,11.6,112.2,0.212,0.385,0.583,0.552,0.17,112.6,0.269,0.367,0.572,0.536,0.207
"24",24.7,49.3,22.9,49.3,63.5,8.1,8.6,11.3,62.7,7.1,7.9,12.6,112.2,0.24,0.334,0.554,0.52,0.184,108.5,0.254,0.384,0.553,0.518,0.193
"25",24.1,47.2,19.1,47.2,63.7,8.3,9.9,12.5,55.9,7.4,6.9,12.4,110.3,0.247,0.343,0.56,0.529,0.183,106.9,0.284,0.324,0.549,0.513,0.209
"26",20,50.4,23.2,50.4,63.2,7.5,8.5,14,57.6,8.9,7.8,12.2,111.1,0.265,0.346,0.587,0.554,0.202,111.1,0.23,0.343,0.56,0.526,0.181
"27",27.4,46.4,20.2,46.4,61,7.3,8.5,12,64,7.6,10.1,11.3,117,0.282,0.358,0.58,0.548,0.207,116.9,0.231,0.448,0.594,0.56,0.187
"28",22.5,49.7,23.4,49.7,61.8,8.7,7.6,12,58.2,8,7.3,12.8,113.2,0.221,0.356,0.574,0.541,0.178,105.4,0.234,0.385,0.532,0.499,0.175
"29",23.3,47.1,19.5,47.1,58.6,7.8,8.7,11.7,59.7,6.7,8.7,11,117.7,0.233,0.409,0.594,0.567,0.175,110.4,0.198,0.41,0.558,0.529,0.155
"30",24.5,47.9,21.9,47.9,60.7,8.5,13.2,12.7,59,8,6.8,13.3,114,0.261,0.346,0.579,0.549,0.193,105.5,0.261,0.37,0.541,0.5,0.206
"31",22.2,50.3,22.2,50.3,62.8,8.8,9.9,11.4,58.8,6.9,7,13.7,112.2,0.22,0.4,0.565,0.531,0.176,105.8,0.277,0.38,0.544,0.506,0.209
"32",23,51.3,24.4,51.3,60.7,6.6,8.2,11.5,58.4,7.4,8.4,11,114.7,0.263,0.369,0.575,0.546,0.191,119.8,0.246,0.366,0.597,0.563,0.197
"33",21,51.2,25.8,51.2,68.5,9.6,8.2,12.9,65.2,7.6,8.5,14.3,110.2,0.283,0.31,0.569,0.53,0.218,102.9,0.246,0.314,0.523,0.488,0.184
"34",25.6,47.3,21.9,47.3,64.6,8.4,8.8,15.3,54.4,9.1,9.5,12.6,107.3,0.269,0.337,0.56,0.524,0.206,106.1,0.306,0.335,0.537,0.494,0.232
"35",21.1,47.2,18.8,47.2,59.1,7.4,11.5,12,62.2,6.8,8.6,12,114.3,0.27,0.427,0.585,0.555,0.198,102.2,0.219,0.409,0.521,0.486,0.168
"36",21,50.6,22.7,50.6,61.6,7,9.2,11.3,59.2,6.6,7.6,12.1,111.1,0.217,0.31,0.562,0.529,0.173,107.9,0.244,0.371,0.544,0.507,0.191
"37",22.3,49.4,22.7,49.4,61.5,9.3,9.3,12.8,62.2,7.7,8.6,14.2,110.6,0.238,0.287,0.565,0.535,0.177,105.2,0.232,0.376,0.547,0.513,0.179
"38",18.6,51,23,51,67.1,7.7,8.5,13.3,65.8,8.4,8.2,13.2,109.2,0.258,0.437,0.572,0.534,0.205,110.4,0.229,0.466,0.562,0.529,0.18
"39",20,52.8,26.1,52.8,66.4,9.9,9.2,13.3,58.9,8.7,9.1,14.6,106.6,0.243,0.318,0.554,0.517,0.192,104,0.254,0.277,0.533,0.495,0.196
"40",25.3,47.9,21.3,47.9,64.9,7.3,7.1,12.7,63.6,7.6,8.8,13.6,114.1,0.234,0.423,0.576,0.541,0.188,109.1,0.258,0.469,0.561,0.523,0.203
"41",22.5,49.5,24,49.5,62,7.2,10.4,12.1,57.4,7.9,9,10.9,112.9,0.245,0.362,0.574,0.535,0.202,110.2,0.238,0.402,0.539,0.502,0.187
"42",22.2,52,24.9,52,58.7,8.1,8.2,11.7,58.9,7.8,8.5,13.7,110.8,0.24,0.325,0.56,0.534,0.17,111.9,0.272,0.375,0.571,0.536,0.208
"43",25.3,49.1,23.9,49.1,63.1,8.2,7.7,13.2,55,8.5,10.4,12.5,116.2,0.281,0.46,0.587,0.553,0.213,109.2,0.259,0.317,0.553,0.515,0.202
"44",22.2,50.5,24.3,50.5,63.4,8.6,10.2,12.5,66.3,6.9,10.4,13.8,111.3,0.249,0.408,0.568,0.53,0.199,105.4,0.25,0.429,0.534,0.497,0.19
"45",22.7,52.2,24.8,52.2,60.3,7.6,7.6,11.8,58.5,7.3,9,13.1,111.3,0.253,0.352,0.56,0.524,0.196,116.5,0.296,0.374,0.595,0.557,0.231
"46",23.6,48.8,23.3,48.8,64,7.5,8.2,12.8,59.8,9.1,9.3,12,112,0.236,0.402,0.568,0.536,0.183,106.7,0.203,0.384,0.533,0.504,0.152
"47",23.2,50.1,22,50.1,60.8,7.1,9,12.7,58.1,7.9,8.1,12.1,109.9,0.236,0.414,0.557,0.528,0.174,113.3,0.279,0.373,0.576,0.536,0.221
"48",24.8,50,23.5,50,63.2,8.4,9.6,15.4,65.2,10.4,9.7,13.4,104.5,0.26,0.38,0.544,0.511,0.192,112.4,0.312,0.372,0.577,0.54,0.232
"49",21.7,51.7,25.3,51.7,67,9.2,7.2,13.8,59.8,8.2,7.9,13.7,106.7,0.261,0.305,0.553,0.514,0.204,106.2,0.246,0.257,0.542,0.508,0.184
"50",21.3,50.2,25.2,50.2,63.8,9,8.1,14,55.5,9,8.2,13.1,110.2,0.253,0.276,0.576,0.54,0.201,101.3,0.239,0.209,0.51,0.473,0.182
"51",29,46.9,22,46.9,59.8,10.3,11.9,11.1,62.9,7.4,10.7,13.1,113.5,0.232,0.36,0.548,0.517,0.174,109.2,0.239,0.4,0.558,0.524,0.185
"52",20.1,54.2,27.6,54.2,60.4,8.7,8.8,12,60.4,7.7,8.3,13.9,110.2,0.271,0.366,0.562,0.526,0.207,113.7,0.276,0.362,0.578,0.54,0.216
"53",23.7,46.2,19.3,46.2,61.9,8.9,9.1,12.5,59.9,7.7,5.5,13.7,111,0.235,0.224,0.566,0.532,0.185,95.8,0.235,0.231,0.498,0.462,0.175
"54",22.3,49.3,23.6,49.3,61.7,8.1,7.1,13.6,53.6,7.9,7.6,12.8,110.8,0.233,0.248,0.575,0.544,0.179,102.5,0.216,0.219,0.518,0.485,0.165
"55",20.4,52.9,23.8,52.9,63.6,8.6,11.7,11.7,68.9,7,12.5,14.2,113.4,0.245,0.462,0.574,0.535,0.202,113.4,0.312,0.448,0.587,0.544,0.247
"56",21.5,47.8,20.2,47.8,63.4,7.4,8.2,13.2,62.9,7.9,8.3,12,112.6,0.302,0.399,0.585,0.546,0.233,108.9,0.273,0.426,0.553,0.514,0.21
"57",22.1,52.1,24.1,52.1,61.8,8.5,9.8,12.2,60.9,7.3,10,12.8,107.6,0.228,0.395,0.545,0.513,0.173,115.1,0.274,0.349,0.585,0.547,0.217
"58",24.5,50.4,25.4,50.4,63,8.3,6.3,12.7,56.9,7.6,8.4,12.6,104.9,0.226,0.263,0.527,0.495,0.17,107,0.268,0.244,0.536,0.495,0.209
"59",21.4,52.6,26.5,52.6,64.3,7.9,7.8,10.9,59.3,7.6,10.1,12.5,112.1,0.248,0.378,0.561,0.521,0.201,109.9,0.284,0.313,0.546,0.505,0.219
"60",20.8,49.8,20.7,49.8,58.4,6.7,10,11.2,60,6.9,7.4,10.8,112,0.247,0.312,0.566,0.529,0.198,112.9,0.242,0.382,0.567,0.533,0.187
"61",25.4,48.2,22.7,48.2,64,8.2,8.3,13.6,51.3,8.7,6.4,13.1,106.6,0.26,0.189,0.547,0.513,0.192,103.8,0.293,0.258,0.526,0.485,0.219
"62",20,51.9,23,51.9,59.8,7.1,6.3,12.2,56.1,7.7,8.2,12.2,110.5,0.304,0.353,0.567,0.526,0.234,115.7,0.283,0.379,0.587,0.55,0.221
"63",22.9,50.3,24.7,50.3,62.7,8.5,9.9,12.4,64.4,7.8,8.7,12.5,110,0.266,0.278,0.56,0.524,0.203,109.4,0.27,0.349,0.548,0.508,0.209
"64",23.3,47.6,20.1,47.6,59.2,7.3,10.6,13.1,62.7,8.3,7.5,12.7,112.7,0.269,0.353,0.579,0.547,0.202,106.8,0.217,0.373,0.549,0.519,0.165
"65",21.4,50.1,25,50.1,64.2,9.2,7.4,13.7,55.7,7.5,6.5,14.8,110.1,0.294,0.185,0.577,0.541,0.222,101.6,0.334,0.205,0.524,0.475,0.252
"66",21.7,49,19.9,49,63,8.8,8.9,13.5,52.9,8.7,8.9,13.3,108.5,0.295,0.38,0.563,0.529,0.215,106.2,0.259,0.318,0.552,0.518,0.193
"67",24.8,50.7,25.7,50.7,60.2,9,10.1,11.1,62.2,6.4,8.4,13.2,111.5,0.27,0.313,0.549,0.507,0.213,111,0.243,0.368,0.56,0.527,0.184
"68",24.4,49.5,23.9,49.5,62.2,8.4,7.5,14.1,59.7,9.2,8.5,13.7,106.2,0.297,0.265,0.545,0.509,0.214,107.6,0.274,0.342,0.552,0.515,0.208
"69",21.7,50.7,24,50.7,63.5,8.2,8.2,11.1,65.1,7.1,5.1,13.1,113.7,0.305,0.324,0.572,0.534,0.229,107,0.303,0.289,0.545,0.506,0.223
"70",21.1,51.1,24.4,51.1,58.8,8.1,10.4,12.7,61.9,8.3,7.1,12.4,109.7,0.245,0.386,0.563,0.534,0.18,110.4,0.256,0.405,0.554,0.52,0.192
"71",26.2,47.9,20.8,47.9,63.7,7.5,7.9,12.3,59.2,8.1,8.9,11.7,109.3,0.247,0.381,0.54,0.502,0.195,113.5,0.24,0.405,0.576,0.543,0.188
"72",21.7,50,23.5,50,57.5,7.7,9.2,13.2,56.5,8.1,8.8,11.9,108.7,0.26,0.342,0.558,0.533,0.179,107.4,0.23,0.334,0.54,0.503,0.182
"73",21.5,49.6,21.4,49.6,58.9,6.4,7.5,11,59.5,7.6,7,11.4,113.3,0.251,0.278,0.572,0.532,0.206,110.3,0.228,0.356,0.554,0.523,0.173
"74",23.1,49.3,22.4,49.3,64.1,7.9,8.5,13,55.9,8.3,8,12.5,107.4,0.265,0.266,0.549,0.512,0.202,102.9,0.262,0.233,0.521,0.482,0.198
"75",26.4,50.4,25.2,50.4,61,8.7,11.9,12.7,65,7.9,10.7,14.1,110.4,0.221,0.455,0.546,0.515,0.168,109.8,0.29,0.436,0.563,0.523,0.223
"76",22.4,50.7,24.1,50.7,61.4,7.7,8.3,13.6,59.3,8.3,10.5,12.3,110,0.269,0.371,0.567,0.534,0.199,112.6,0.236,0.341,0.57,0.538,0.182
"77",29.3,47.9,25.5,47.9,60.4,6,6.6,11.9,48.5,8.1,5.7,10.6,114.6,0.251,0.289,0.556,0.515,0.206,108.5,0.254,0.193,0.531,0.493,0.195
"78",26,48.1,23.2,48.1,61.3,7.2,9.2,12.1,58.5,7.9,10.2,10.9,115.5,0.286,0.401,0.575,0.53,0.235,113.3,0.247,0.38,0.56,0.521,0.201
"79",18.9,52.1,22,52.1,59.1,7,9.4,9.9,58.7,6.1,8.8,11.6,110.2,0.229,0.328,0.551,0.516,0.181,111.5,0.218,0.379,0.564,0.537,0.163
"80",22.4,51.7,24.1,51.7,64.1,8.4,8.4,12.6,60.7,8.2,9,13.3,104.4,0.265,0.33,0.528,0.483,0.214,113,0.241,0.395,0.577,0.544,0.186
"81",23.1,48.7,22.3,48.7,61.2,8.6,9.7,11.9,58.5,8.1,6.7,12.9,114.6,0.277,0.272,0.581,0.538,0.226,105.1,0.26,0.292,0.535,0.495,0.202
"82",22.6,51,23.1,51,63.3,8.1,9.3,12.3,60.9,7.9,11.3,12.9,109.3,0.271,0.406,0.552,0.512,0.21,113,0.262,0.37,0.579,0.546,0.199
"83",22.5,48.4,20.2,48.4,58,7.6,8.1,11.4,56.9,7.4,6.8,11.6,118.2,0.226,0.399,0.6,0.564,0.19,113.1,0.23,0.375,0.572,0.54,0.18
"84",24.9,48.6,23.2,48.6,58.3,6.4,8,10.9,57.3,7.2,7.8,10.5,118.1,0.27,0.457,0.581,0.546,0.208,110.7,0.236,0.366,0.546,0.512,0.18
"85",19.7,51.6,21.8,51.6,62.5,6.7,9.4,12.1,58.4,7.2,8.2,11.8,105.4,0.217,0.36,0.537,0.505,0.168,109.6,0.252,0.333,0.555,0.519,0.194
"86",20.6,51,22.5,51,58.5,7.9,8.4,11.7,59.7,7.9,9.5,12.3,113.4,0.237,0.348,0.577,0.541,0.192,111.3,0.24,0.364,0.564,0.527,0.194
"87",28.1,46.3,21,46.3,59.6,6.7,6.5,13.2,57.5,8.5,8.5,10.2,111.6,0.289,0.31,0.555,0.517,0.219,113,0.265,0.292,0.564,0.525,0.21
"88",20.8,50.2,22.8,50.2,59.7,6.4,8.6,11.7,56.8,7.7,7.9,10.4,110.6,0.255,0.361,0.563,0.527,0.198,112.6,0.251,0.349,0.555,0.515,0.201
"89",24.1,50,24.3,50,62.4,8.8,8.7,13.6,57.2,9.2,8.1,13.7,105.8,0.276,0.306,0.541,0.507,0.199,106,0.225,0.324,0.541,0.508,0.172
"90",24,49.1,22.1,49.1,59.8,7.3,10.5,12,54.7,8.1,8.7,11.6,111.3,0.233,0.405,0.555,0.522,0.18,111.8,0.257,0.351,0.564,0.526,0.203
"91",20.3,53.1,25.9,53.1,59.5,9.1,8.2,14,61,9.2,8,13.6,105.6,0.229,0.334,0.554,0.519,0.181,114,0.311,0.332,0.582,0.544,0.235
"92",23,49.7,23.8,49.7,56.6,8,9.2,11.8,60.2,7.2,8.4,12.5,113.7,0.241,0.37,0.575,0.539,0.194,108.3,0.241,0.328,0.544,0.509,0.185
"93",20.8,52.3,23.7,52.3,62.6,9.2,6.2,13.2,58.3,8.4,7,14.7,105.2,0.259,0.286,0.543,0.507,0.196,107.5,0.267,0.282,0.56,0.522,0.208
"94",25.7,51.5,29.2,51.5,64.7,8.7,10.3,12.2,57.1,7.8,7.7,13.8,111.1,0.333,0.206,0.553,0.504,0.261,108.8,0.363,0.256,0.546,0.492,0.281
"95",20.9,50.3,20.7,50.3,61.2,7.3,7.3,10.9,61.1,7,8.3,12.3,110.3,0.227,0.427,0.553,0.522,0.172,107.8,0.233,0.378,0.55,0.519,0.176
"96",23.8,51.9,25.5,51.9,63.4,6.9,8,13.1,64.2,8.5,9.5,12.8,107.2,0.257,0.401,0.542,0.508,0.192,114.2,0.207,0.395,0.576,0.549,0.159
"97",25.1,50.8,25.7,50.8,62,9.6,7.1,12.6,55.5,7.9,8.2,14.4,105.2,0.256,0.308,0.523,0.482,0.199,102,0.31,0.264,0.521,0.471,0.242
"98",24.2,47.5,21.2,47.5,56.4,8.7,11.3,12.8,59,7.5,7.8,12.8,114,0.294,0.332,0.582,0.542,0.23,108.6,0.252,0.379,0.554,0.519,0.194
"99",21.6,51,23,51,58.1,7.1,9,10.9,61.8,7.2,11.8,12.1,111.3,0.258,0.359,0.554,0.516,0.203,111.5,0.232,0.379,0.564,0.532,0.18
"100",23.8,50.9,26.8,50.9,62.3,8.8,7.5,12.3,62.9,7,5.4,13.8,110,0.353,0.293,0.555,0.512,0.258,104.3,0.295,0.248,0.526,0.483,0.221
"101",25.2,47.1,21.3,47.1,57.5,6.6,9.1,12.3,54.3,7.6,9,10.1,118.6,0.255,0.485,0.597,0.564,0.199,110.2,0.207,0.337,0.543,0.512,0.161
"102",28.8,48.5,23.9,48.5,60.9,9.5,5.1,11.6,56.4,7.9,8.7,15,109.6,0.304,0.252,0.529,0.481,0.237,104.6,0.212,0.254,0.549,0.52,0.161
"103",28.7,48.9,27.5,48.9,61.6,11.4,10.7,13,62.6,7.9,7.4,15.5,111,0.301,0.254,0.553,0.519,0.214,101.7,0.303,0.258,0.52,0.477,0.225
"104",23.1,49.4,22,49.4,58.5,6.8,8.1,10.7,62.1,7.6,8.4,10.3,114.4,0.243,0.378,0.567,0.531,0.195,115.9,0.211,0.407,0.574,0.543,0.169
"105",24.7,49.5,23.2,49.5,59.5,6.6,6.3,12.7,54.4,7.7,9,11.4,111.3,0.286,0.392,0.562,0.525,0.215,112.1,0.261,0.301,0.56,0.525,0.2
"106",25.8,48.8,22.9,48.8,60.5,7.8,10.7,12.4,58.2,7.5,9.9,12.1,108.1,0.263,0.375,0.536,0.506,0.182,108,0.275,0.36,0.544,0.505,0.21
"107",24.7,48.3,22.5,48.3,56.5,7.4,9.2,12.8,58.9,8,8.5,12.7,113.3,0.288,0.364,0.571,0.53,0.226,106.8,0.274,0.385,0.543,0.503,0.21
"108",22.8,51.9,26.1,51.9,61.3,8.7,7.6,13.8,63.3,8.7,9.3,14.4,107.2,0.241,0.34,0.553,0.517,0.189,111.7,0.245,0.364,0.573,0.542,0.185
"109",23,49.1,22.4,49.1,59.3,6.6,7.9,13.2,53.3,7.8,10.5,11.1,106.3,0.265,0.41,0.542,0.508,0.194,108.5,0.244,0.372,0.539,0.503,0.188
"110",26.6,47.6,21.6,47.6,59.3,8,8.2,13.5,59.9,8.6,8.4,13.2,110.6,0.255,0.353,0.559,0.527,0.19,109.2,0.219,0.337,0.563,0.534,0.166
"111",22.9,52.5,27.8,52.5,59.3,10,7.3,12.5,57.4,8.4,5.8,14.9,110,0.239,0.27,0.559,0.523,0.19,108.5,0.316,0.271,0.556,0.512,0.242
"112",19.9,50.6,19.1,50.6,60.7,7.1,6.5,12,60.6,7.3,8.2,11.5,104.1,0.209,0.339,0.53,0.5,0.158,110.4,0.227,0.352,0.565,0.532,0.178
"113",26.6,50.2,27.1,50.2,61.9,7.6,7.3,12.3,53,8.1,9.1,12.3,110.6,0.324,0.249,0.55,0.501,0.255,110.2,0.301,0.183,0.546,0.501,0.236
"114",19.1,52.6,26.2,52.6,60.4,9.9,8.1,14.3,58.7,8.7,5.6,15.7,111.8,0.31,0.282,0.595,0.558,0.236,105.9,0.298,0.297,0.552,0.513,0.223
"115",23.6,51.6,27.1,51.6,63.4,9,7.9,13.9,59.6,9.6,8.3,14,104.6,0.23,0.283,0.537,0.511,0.16,104.1,0.24,0.243,0.526,0.489,0.187
"116",24.2,49.2,22.2,49.2,57.7,8.2,8.4,14,56,8.1,9.3,12.7,104.1,0.261,0.311,0.533,0.505,0.18,107.7,0.255,0.333,0.55,0.513,0.198
"117",24.5,51.8,27.8,51.8,57.6,8.4,8,10.9,58.8,7,5.9,14.2,113.5,0.265,0.309,0.561,0.525,0.202,107.2,0.276,0.283,0.541,0.503,0.207
"118",31.9,48.1,28.6,48.1,59.4,8.7,10.3,13.2,61.5,9.1,10.4,12.7,109,0.303,0.22,0.533,0.501,0.207,106.5,0.263,0.271,0.524,0.488,0.194
"119",26.8,48.6,25.1,48.6,61.3,9.1,8.6,14,59,8.6,10.7,14.1,108.2,0.346,0.252,0.551,0.507,0.255,105.4,0.246,0.263,0.539,0.503,0.188
"120",20.9,49.7,20.9,49.7,61.8,6.9,8.9,10.7,61.2,7.1,10,11.2,108.6,0.295,0.313,0.542,0.496,0.233,107.1,0.209,0.348,0.538,0.506,0.163
"121",24.9,51.5,27.8,51.5,61.6,8.4,9.5,13.6,63.4,8.6,8.5,13.8,104.3,0.272,0.194,0.531,0.493,0.204,110,0.306,0.301,0.554,0.511,0.233
"122",23.7,50.3,25.5,50.3,63.2,6.7,6.9,12.9,55.1,7.3,6.9,12.1,108.9,0.288,0.227,0.554,0.511,0.226,105.8,0.266,0.202,0.526,0.485,0.205
"123",23.9,49.1,22.3,49.1,56.5,8.3,10.9,11.5,60,6.8,10,13.2,113.5,0.247,0.38,0.565,0.527,0.199,106.7,0.265,0.386,0.547,0.513,0.196
"124",31.9,46.8,26.4,46.8,61.4,8.1,8.4,12.9,56.7,8.2,7.5,12.5,109.2,0.262,0.194,0.531,0.497,0.19,98.9,0.242,0.173,0.488,0.452,0.175
"125",20.1,51.2,23.7,51.2,59.1,7.5,6.8,12.7,61.9,7.8,8,12.2,113.3,0.277,0.393,0.585,0.545,0.223,112.2,0.214,0.368,0.566,0.54,0.159
"126",24.3,49.9,24.3,49.9,57.3,8.8,6.8,12.6,58.8,7.8,6.7,13.7,109.7,0.24,0.269,0.556,0.521,0.189,109.4,0.284,0.319,0.559,0.523,0.212
"127",21.3,52.7,28.3,52.7,66.4,7.9,8.7,14.4,54,9.2,7.7,13.9,102,0.263,0.199,0.532,0.492,0.203,100.6,0.294,0.208,0.502,0.455,0.225
"128",24.6,49.6,25,49.6,61.5,6.3,6.7,13.6,58.5,7.8,7.7,11,103.7,0.196,0.231,0.529,0.498,0.154,107.7,0.253,0.224,0.528,0.493,0.188
"129",25.3,50,24.3,50,59.2,8.3,9.5,13.4,58.6,8.9,10.1,12.9,106.8,0.258,0.321,0.54,0.507,0.188,114.7,0.249,0.373,0.583,0.55,0.193
"130",21.3,52.3,26,52.3,60.5,8,8.6,11.7,57.3,7.7,5.7,12.9,108.7,0.326,0.304,0.55,0.516,0.226,105.3,0.312,0.272,0.528,0.484,0.232
"131",25.8,49,24.7,49,60.5,8.7,7.3,12.5,54,7.6,8.2,13.2,112.2,0.308,0.265,0.565,0.522,0.24,103.7,0.243,0.19,0.522,0.488,0.18
"132",19.7,52.6,24.4,52.6,58.7,7.2,7.6,13,59,8,8.5,12.2,106,0.24,0.34,0.547,0.515,0.18,111.9,0.246,0.304,0.565,0.53,0.193
"133",25.3,50.9,27.8,50.9,61.6,10,7.8,15.1,62.3,9,7.7,15,104.5,0.259,0.233,0.542,0.504,0.2,103.4,0.303,0.287,0.526,0.485,0.221
"134",24.2,52.8,29.7,52.8,59.2,6.8,6,13.1,58.2,8.2,7.3,12.8,111,0.308,0.276,0.565,0.524,0.235,112.8,0.291,0.236,0.559,0.52,0.219
"135",25.6,49.6,24.1,49.6,61.3,9,8.2,13.6,61.5,8.4,6.1,14.4,104.9,0.259,0.244,0.53,0.496,0.189,105.5,0.28,0.268,0.546,0.51,0.207
"136",22.4,50.6,25.7,50.6,63.8,7.7,7,13,57.5,8,6.4,12.5,107.8,0.279,0.267,0.554,0.514,0.216,105.4,0.265,0.222,0.525,0.486,0.2
"137",20.6,52.8,25.7,52.8,58.1,7.9,9,14,57.5,8.7,11.8,12.9,104.3,0.248,0.395,0.542,0.506,0.19,113.2,0.294,0.353,0.573,0.534,0.226
"138",25.8,48.1,23.5,48.1,58.9,8,7.9,14.9,53.6,9,7.8,13.3,107,0.262,0.29,0.552,0.52,0.191,102.3,0.298,0.235,0.521,0.475,0.228
"139",17.9,52.8,22.2,52.8,61.5,9.1,12,12.3,63.1,7.5,8.2,14.3,105.7,0.271,0.329,0.548,0.51,0.206,107.4,0.304,0.376,0.559,0.516,0.235
"140",29.7,49.1,27.3,49.1,62.6,9,10,13.4,56.7,8.6,9.5,13.5,107.4,0.297,0.211,0.531,0.487,0.228,107.2,0.297,0.218,0.538,0.498,0.222
"141",22.7,50.3,23.2,50.3,57.5,8,8,12.2,56.6,7.3,7.8,13.3,109.9,0.268,0.304,0.556,0.521,0.202,107.5,0.28,0.345,0.55,0.512,0.213
"142",23.6,48.8,22,48.8,56.3,7.8,9.1,11.7,62.1,7.5,9,11.8,113.4,0.238,0.442,0.567,0.535,0.182,109.4,0.215,0.463,0.549,0.52,0.162
"143",21.3,52.1,26.2,52.1,62.7,9.4,6.8,13.4,59.9,8.5,7.6,14.1,102.7,0.261,0.202,0.532,0.492,0.202,104,0.303,0.242,0.529,0.489,0.22
"144",22.3,52,24.2,52,59.2,9.9,8.6,12.8,63.6,8.3,12,15.3,106.3,0.238,0.396,0.54,0.506,0.182,108.1,0.312,0.386,0.567,0.526,0.238
"145",19.4,51.8,23.8,51.8,58.1,8.3,10.9,11.1,59.3,6.9,8.7,12,111.9,0.253,0.373,0.567,0.528,0.206,109.8,0.238,0.393,0.55,0.515,0.184
"146",19.7,52.4,25.8,52.4,58.8,8,8.1,12.7,58.1,8.6,8.3,12.3,106.8,0.216,0.397,0.551,0.518,0.17,107.4,0.193,0.378,0.533,0.502,0.152
"147",23,51,23.3,51,57.6,8.2,10.2,12.5,55.5,7.2,10.6,12.9,107.3,0.277,0.428,0.541,0.501,0.21,110.6,0.269,0.346,0.563,0.524,0.212
"148",22,51.6,25.3,51.6,59.4,7.4,9.4,14.6,58.4,9.8,12.6,11.5,107.3,0.29,0.448,0.558,0.526,0.206,116.2,0.258,0.425,0.579,0.544,0.202
"149",18.1,51.6,21.5,51.6,58.4,6.9,7.9,12.8,58.2,8,9.2,11.1,106.2,0.236,0.425,0.552,0.522,0.175,112.1,0.215,0.398,0.564,0.536,0.163
"150",22.2,50.8,24.2,50.8,62.7,8,9.6,15.1,56.2,8.7,9.5,12.5,101.5,0.249,0.356,0.531,0.495,0.187,107.3,0.288,0.294,0.54,0.501,0.216
"151",30,48.2,27.1,48.2,64.2,8,8.2,13.6,52.4,8.5,8.4,13,104.2,0.285,0.164,0.515,0.468,0.223,101.2,0.271,0.2,0.501,0.459,0.204
"152",19.5,50.7,22.2,50.7,55.9,6.4,9,10.8,56.8,7.5,7.4,11.1,115.5,0.253,0.438,0.585,0.551,0.199,114.1,0.253,0.417,0.57,0.536,0.194
"153",22.3,50.1,24.9,50.1,55,6.1,7.7,12.3,57.3,8.2,9.6,10.5,113.4,0.331,0.281,0.577,0.528,0.266,112.3,0.283,0.314,0.55,0.509,0.219
"154",23.2,49.4,22.8,49.4,55.2,8.6,10,11.6,57.9,7.3,9.1,13.6,114.4,0.264,0.364,0.574,0.534,0.212,106.5,0.284,0.305,0.547,0.506,0.221
"155",23,49.8,21.4,49.8,58.3,7.9,9.3,11.7,62.2,7.5,8.4,11.8,111.8,0.26,0.437,0.562,0.525,0.201,116.1,0.252,0.417,0.588,0.558,0.191
"156",17.2,52.7,20.4,52.7,59.5,7,6.9,11.5,60,7.9,8.5,12.9,107.6,0.216,0.376,0.552,0.521,0.167,109.7,0.274,0.349,0.569,0.531,0.214
"157",27.5,48.1,22.6,48.1,59.4,8,8.3,13.2,57.6,8.5,8.4,13,109.4,0.285,0.272,0.549,0.505,0.225,110.7,0.287,0.323,0.566,0.526,0.222
