"dzien","dolnoslaskie","kujawskopomorskie","lubuskie","lodzkie","lubelskie","malopolskie","mazowieckie","opolskie","podlaskie","podkarpackie","pomorskie","swietokrzyskie","slaskie","warminskomazurskie","wielkopolskie","zachodniopomorskie","suma_dzienna","total"
2020-03-27,28,2,1,10,4,24,27,2,4,8,4,7,14,5,21,7,168,1389
2020-03-28,21,4,2,14,9,19,103,3,9,10,4,5,24,2,9,11,249,1638
2020-03-29,20,10,0,8,18,38,40,12,2,5,9,7,30,10,9,6,224,1862
2020-03-30,24,25,3,12,9,24,26,11,8,4,3,3,14,1,24,2,193,2055
2020-03-31,16,4,6,6,18,18,57,16,0,15,6,12,55,1,16,10,256,2311
2020-04-01,52,8,5,13,1,17,68,5,11,9,6,6,8,3,21,10,243,2554
2020-04-02,12,73,1,15,18,21,142,3,12,7,10,7,29,6,26,10,392,2946
2020-04-03,62,42,2,12,7,32,54,12,15,14,12,17,130,8,18,0,437,3383
2020-04-04,7,25,6,11,7,46,0,0,8,11,22,2,65,3,20,11,244,3627
2020-04-05,61,17,3,67,9,19,159,4,9,13,13,12,41,2,40,6,475,4102
2020-04-06,20,4,3,14,7,22,98,7,18,7,8,10,25,3,54,11,311,4413
2020-04-07,39,19,0,18,11,22,182,6,18,12,10,17,39,4,22,16,435,4848
2020-04-08,12,13,4,42,8,28,67,9,22,12,8,7,43,5,45,32,357,5205
2020-04-09,29,3,3,32,5,34,110,9,19,14,10,2,51,3,37,9,370,5575
2020-04-10,69,10,5,31,17,20,77,5,21,15,4,1,34,15,46,10,380,5955
2020-04-11,23,23,2,29,3,33,128,13,6,11,6,6,52,1,58,7,401,6356
2020-04-12,37,23,2,37,9,19,35,8,27,1,8,5,65,11,29,2,318,6674
2020-04-13,12,9,0,22,6,13,24,20,16,4,4,0,33,0,85,10,258,6932
2020-04-14,14,7,1,16,5,19,27,35,18,9,0,13,64,0,34,8,270,7202
2020-04-15,41,7,0,5,25,24,77,13,3,9,4,16,45,3,102,6,380,7582
2020-04-16,55,8,2,18,9,14,54,11,19,3,2,5,82,4,44,6,336,7918
2020-04-17,74,20,0,17,11,21,37,24,13,5,4,18,145,10,51,7,457,8379
2020-04-18,56,11,0,33,3,34,53,17,25,8,22,10,25,0,18,19,334,8742
2020-04-19,95,8,0,20,15,16,56,5,5,4,2,7,140,3,122,17,515,9224
2020-04-20,33,15,1,22,3,33,38,16,6,3,6,17,71,1,30,11,306,9530
